Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,110548651,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11361115,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,32452,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,781,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11715838,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,76516,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,74077738,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,71080537,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,340271832,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,30606789,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,32862761,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,6536266,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,82717614,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,34177078,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,125750565,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,203445235,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,362372,,,4
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,19204765,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,562280,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,681,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1295714,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2290,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,43096,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3,,,0
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2362315943,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1092486585,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,767193,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,681287,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,13269,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,135680,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11077517656,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3055723932,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,6745880,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,645126,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8983569816,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8346370868,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1011239,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8183174,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,119586,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,10542096,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,678912359,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,301402945,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,71164476,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,116525499,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,92699795,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,246466999,,,4
H5,2017,2017,2017,0,0,3,Re-Export,51,Armenia,ARM,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11163776,,,0
H5,2017,2017,2017,0,0,4,Re-Import,51,Armenia,ARM,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,12004,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,750003,,,0
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,50024010,,,0
H5,2017,2017,2017,0,0,3,Re-Export,51,Armenia,ARM,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,37807,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,75450,,,0
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,959819,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,21805963,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8237344,,,0
H5,2017,2017,2017,0,0,3,Re-Export,51,Armenia,ARM,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8120813,,,0
H5,2017,2017,2017,0,0,4,Re-Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,500,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,437671,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,4,,,0
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,5914282441,,,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7165736127,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2419959,,,0
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,49477925,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,14535437,,,0
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7790498,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1648457061,,,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1330223965,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,205973788,,,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,149507759,,,4
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8386391,,,4
H5,2017,2017,2017,0,0,2,Export,60,Bermuda,BMU,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,45594,,,4
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11752,,,0
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,34,,,0
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3720121,,,4
H5,2017,2017,2017,0,0,1,Import,60,Bermuda,BMU,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,9355,,,4
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,102665355,,,4
H5,2017,2017,2017,0,0,2,Export,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,14427744,,,0
H5,2017,2017,2017,0,0,3,Re-Export,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,125700,,,0
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,77681,,,0
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,247,,,0
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,91741782,,,4
H5,2017,2017,2017,0,0,2,Export,68,Bolivia (Plurinational State of),BOL,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2217845,,,0
H5,2017,2017,2017,0,0,3,Re-Export,68,Bolivia (Plurinational State of),BOL,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,10981,,,0
H5,2017,2017,2017,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,23581,,,0
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,63117849,,,4
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,101035815,,,4
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,17019,,,0
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,293841,,,0
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,76004,,,0
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,124,,,0
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,17696638,,,0
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1209711,,,0
H5,2017,2017,2017,0,0,1,Import,70,Bosnia Herzegovina,BIH,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,89071390,,,0
H5,2017,2017,2017,0,0,2,Export,70,Bosnia Herzegovina,BIH,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,83202627,,,0
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1984753740,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,792483593,,,4
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1354662,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,74565270,,,4
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,429360,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,4385514,,,0
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1568071729,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1788585499,,,4
H5,2017,2017,2017,0,0,1,Import,76,Brazil,BRA,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3767544,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,18992826,,,4
H5,2017,2017,2017,0,0,1,Import,96,Brunei Darussalam,BRN,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11049027,,,4
H5,2017,2017,2017,0,0,2,Export,96,Brunei Darussalam,BRN,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,123038927,,,4
H5,2017,2017,2017,0,0,2,Export,96,Brunei Darussalam,BRN,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,69834,,,0
H5,2017,2017,2017,0,0,1,Import,96,Brunei Darussalam,BRN,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11526,,,4
H5,2017,2017,2017,0,0,1,Import,96,Brunei Darussalam,BRN,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,95132987,,,4
H5,2017,2017,2017,0,0,2,Export,96,Brunei Darussalam,BRN,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,611505485,,,4
H5,2017,2017,2017,0,0,1,Import,96,Brunei Darussalam,BRN,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2199,,,4
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,239916659,,,4
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,187100642,,,4
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,323139,,,0
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,23055869,,,4
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,19,,,0
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,886242,,,0
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,57453769,,,4
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,54987151,,,4
H5,2017,2017,2017,0,0,1,Import,100,Bulgaria,BGR,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,371174889,,,4
H5,2017,2017,2017,0,0,2,Export,100,Bulgaria,BGR,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,460733455,,,4
H5,2017,2017,2017,0,0,1,Import,104,Myanmar,MMR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,17522250,,,4
H5,2017,2017,2017,0,0,2,Export,104,Myanmar,MMR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,5358421,,,4
H5,2017,2017,2017,0,0,1,Import,104,Myanmar,MMR,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3157,,,0
H5,2017,2017,2017,0,0,1,Import,104,Myanmar,MMR,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,254362,,,4
H5,2017,2017,2017,0,0,1,Import,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,2166677124,,,4
H5,2017,2017,2017,0,0,2,Export,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2698657219,,,4
H5,2017,2017,2017,0,0,3,Re-Export,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,20226482,,,0
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,126782200,,,4
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,15069000,,,4
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7440300,,,0
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,6280100,,,4
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3358300,,,0
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,34359100,,,4
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,37004000,,,4
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,50462700,,,4
H5,2017,2017,2017,0,0,1,Import,112,Belarus,BLR,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,32766600,,,4
H5,2017,2017,2017,0,0,2,Export,112,Belarus,BLR,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1640200,,,4
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,3391523436,,,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1582028246,,,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,68037483,,,0
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,909079,,,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,17377226,,,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,760,Syria,SYR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,21229,,,0
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,204871,,,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2236378,,,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,762,Tajikistan,TJK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,35716,,,0
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,2545773350,,,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,563645055,,,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,25667346,,,0
H5,2017,2017,2017,0,0,1,Import,124,Canada,CAN,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,8632118,,,0
H5,2017,2017,2017,0,0,2,Export,124,Canada,CAN,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3196584,,,4
H5,2017,2017,2017,0,0,3,Re-Export,124,Canada,CAN,807,North Macedonia,MKD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,201605,,,0
H5,2017,2017,2017,0,0,1,Import,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,303998983,,,4
H5,2017,2017,2017,0,0,2,Export,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,101934085,,,4
H5,2017,2017,2017,0,0,3,Re-Export,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,898466,,,0
